Partner Name,Tier,Location,References,Certified Experts,Profile URL,Certified Versions,References Total,Customer Retention %,Largest Reference Users,Average Reference Users,Reference Industries,RI_Agriculture,RI_Construction_Renovation,RI_ECO_liable_to_deduct_TCS_u_s_52,RI_ECO_liable_to_pay_GST_u_s_9_5,RI_Education,RI_Entertainment_Media,RI_Finance_Legal_Insurance,RI_Food_Hospitality_Tourism_Beverage,RI_Government,RI_HR_Administrative_Consulting,RI_Health_Social_Welfare_Pharmaceutical,RI_Households,RI_IT_Communication_Marketing,RI_Manufacturing_Maintenance,RI_Mining_Quarrying,RI_NGO,RI_Other_Services,RI_Real_Estate,RI_Science_Technology,RI_Transportation_Logistics,RI_Utilities_Energy_Water_supply,RI_Wholesale_Retail
Open Net Sàrl,Gold,"Switzerland , Vaud , Lausanne , 1004",117,6,https://www.odoo.com/partners/open-net-sarl--294,v19:3; v18:1; v17:2,117.0,95.0,200,12,Construction & Renovation 19 Manufacturing / Maintenance 17 Wholesale / Retail 14 IT / Communication / Marketing 10 Health / Social Welfare / Pharmaceutical 10 Food / Hospitality / Tourism / Beverage 9 Other Services 7 Science & Technology 7 Utilities / Energy / Water supply 6 Agriculture 5,5,19,0,0,0,0,0,9,0,0,10,0,10,17,0,0,7,0,7,0,6,14
Camptocamp SA,Gold,"Switzerland , Vaud , Bussigny , 1030",115,21,https://www.odoo.com/partners/camptocamp-sa-1135,v19:6; v18:8; v17:7,115.0,95.0,200,26,Other Services 21 Wholesale / Retail 20 Manufacturing / Maintenance 16 Utilities / Energy / Water supply 11 IT / Communication / Marketing 11 Health / Social Welfare / Pharmaceutical 9 Science & Technology 9 Finance / Legal / Insurance 6 Transportation/Logistics 5 Government 2,0,0,0,0,0,0,6,0,2,0,9,0,11,16,0,0,21,0,9,5,11,20
SprintIT,Gold,"Finland , Helsinki , 00370",115,6,https://www.odoo.com/partners/sprintit-4337478,v18:3; v17:3,115.0,93.0,500,32,Manufacturing / Maintenance 42 Wholesale / Retail 36 Science & Technology 8 Construction & Renovation 6 Other Services 5 Health / Social Welfare / Pharmaceutical 4 Food / Hospitality / Tourism / Beverage 4 IT / Communication / Marketing 4 Transportation/Logistics 2 Finance / Legal / Insurance 2,0,6,0,0,0,0,2,4,0,0,4,0,4,42,0,0,5,0,8,2,0,36
aquíH,Gold,"Guatemala , Guatemala , 01004",115,5,https://www.odoo.com/partners/aquih-1159729,v17:5,115.0,87.0,200,17,Wholesale / Retail 28 Manufacturing / Maintenance 17 IT / Communication / Marketing 14 Real Estate 8 Food / Hospitality / Tourism / Beverage 6 Health / Social Welfare / Pharmaceutical 6 Construction & Renovation 5 Other Services 5 NGO 4 Finance / Legal / Insurance 4,0,5,0,0,0,0,4,6,0,0,6,0,14,17,0,4,5,8,0,0,0,28
Advicts,Gold,"Iraq , Erbil/Baghdad , 44001",114,7,https://www.odoo.com/partners/advicts-4302382,v19:1; v18:4; v17:2,114.0,87.0,600,39,Wholesale / Retail 32 Manufacturing / Maintenance 13 Construction & Renovation 12 Transportation/Logistics 10 Food / Hospitality / Tourism / Beverage 8 Utilities / Energy / Water supply 8 IT / Communication / Marketing 6 Health / Social Welfare / Pharmaceutical 5 Finance / Legal / Insurance 3 Real Estate 3,0,12,0,0,0,0,3,8,0,0,5,0,6,13,0,0,0,3,0,10,8,32
BIRTUM SOLUCIONES MEXICO,Gold,"Mexico , Ciudad de México , CUAUHTEMOC , 06600",114,9,https://www.odoo.com/partners/birtum-soluciones-mexico-3475357,v18:6; v17:3,114.0,94.0,400,32,IT / Communication / Marketing 7 Wholesale / Retail 7 Other Services 5 Science & Technology 5 Food / Hospitality / Tourism / Beverage 4 Health / Social Welfare / Pharmaceutical 4 Manufacturing / Maintenance 4 Utilities / Energy / Water supply 2 Finance / Legal / Insurance 2 Construction & Renovation 2,0,2,0,0,0,0,2,4,0,0,4,0,7,4,0,0,5,0,5,0,2,7
QOC Innovations,Gold,"United States , Wisconsin , Columbus , 53925",114,9,https://www.odoo.com/partners/qoc-innovations-3165929,v18:5; v17:4,114.0,94.0,1000,33,Manufacturing / Maintenance 48 Wholesale / Retail 13 Other Services 11 Construction & Renovation 7 IT / Communication / Marketing 6 Agriculture 2 Food / Hospitality / Tourism / Beverage 2 Health / Social Welfare / Pharmaceutical 2 Education 1 Finance / Legal / Insurance 1,2,7,0,0,1,0,1,2,0,0,2,0,6,48,0,0,11,0,0,0,0,13
Intelligent Experts Technology (IET),Gold,"Saudi Arabia , Riyadh",113,7,https://www.odoo.com/partners/intelligent-experts-technology-iet-4840227,v19:1; v18:1; v17:5,113.0,93.0,300,16,Construction & Renovation 23 Food / Hospitality / Tourism / Beverage 19 Wholesale / Retail 16 Manufacturing / Maintenance 14 Real Estate 7 Entertainment / Media 7 IT / Communication / Marketing 5 HR / Administrative / Consulting 4 Utilities / Energy / Water supply 3 Transportation/Logistics 3,0,23,0,0,0,7,0,19,0,4,0,0,5,14,0,0,0,7,0,3,3,16
Dynapps,Gold,"Netherlands , Oisterwijk , 5061 PA",112,7,https://www.odoo.com/partners/dynapps-9050849,v18:3; v17:4,112.0,94.0,400,20,Manufacturing / Maintenance 30 Wholesale / Retail 29 Food / Hospitality / Tourism / Beverage 14 Science & Technology 10 IT / Communication / Marketing 9 Construction & Renovation 6 Transportation/Logistics 3 Agriculture 3 Utilities / Energy / Water supply 3 Health / Social Welfare / Pharmaceutical 3,3,6,0,0,0,0,0,14,0,0,3,0,9,30,0,0,0,0,10,3,3,29
Emipro Technologies Pvt. Ltd.,Gold,"India , Gujarat , Rajkot , 360005",111,4,https://www.odoo.com/partners/emipro-technologies-pvt-ltd-459457,v18:2; v17:2,111.0,94.0,200,15,Wholesale / Retail 42 Manufacturing / Maintenance 19 IT / Communication / Marketing 11 Science & Technology 4 Other Services 3 Food / Hospitality / Tourism / Beverage 3 Health / Social Welfare / Pharmaceutical 3 Transportation/Logistics 2 Construction & Renovation 2 Education 1,0,2,0,0,1,0,0,3,0,0,3,0,11,19,0,0,3,0,4,2,0,42
Novobi,Gold,"United States , Texas , Austin , 78759-7439",109,31,https://www.odoo.com/partners/novobi-481144,v19:18; v18:8; v17:5,109.0,97.0,400,31,Manufacturing / Maintenance 33 Wholesale / Retail 28 Other Services 10 IT / Communication / Marketing 7 Health / Social Welfare / Pharmaceutical 4 Finance / Legal / Insurance 3 Households 1 Utilities / Energy / Water supply 1 Food / Hospitality / Tourism / Beverage 1 Education 1,0,0,0,0,1,0,3,1,0,0,4,1,7,33,0,0,10,0,0,0,1,28
Grupo Madetosoft S.L.,Gold,"Spain , Sant Cugat del Vallès , 08173",106,10,https://www.odoo.com/partners/grupo-madetosoft-sl-6521071,v19:1; v18:5; v17:4,106.0,93.0,200,9,Wholesale / Retail 21 Manufacturing / Maintenance 16 Construction & Renovation 14 IT / Communication / Marketing 10 Other Services 7 Transportation/Logistics 6 Food / Hospitality / Tourism / Beverage 6 Education 5 Finance / Legal / Insurance 5 Utilities / Energy / Water supply 5,0,14,0,0,5,0,5,6,0,0,0,0,10,16,0,0,7,0,0,6,5,21
Odoo Experts B.V.,Gold,"Netherlands , Zaandam , 1505 HH",106,5,https://www.odoo.com/partners/odoo-experts-bv-2063855,v19:1; v18:1; v17:3,106.0,89.0,200,23,Wholesale / Retail 49 Manufacturing / Maintenance 16 IT / Communication / Marketing 12 Other Services 8 Food / Hospitality / Tourism / Beverage 7 Construction & Renovation 5 Science & Technology 4 Transportation/Logistics 3 Real Estate 1,0,5,0,0,0,0,0,7,0,0,0,0,12,16,0,0,8,1,4,3,0,49
ZAD Solutions,Gold,"Egypt , Giza , 12564",106,8,https://www.odoo.com/partners/zad-solutions-527787,v19:2; v18:3; v17:3,106.0,92.0,400,38,Manufacturing / Maintenance 31 Real Estate 16 Wholesale / Retail 15 Health / Social Welfare / Pharmaceutical 12 Utilities / Energy / Water supply 9 Finance / Legal / Insurance 5 Food / Hospitality / Tourism / Beverage 5 IT / Communication / Marketing 5 Agriculture 4 Construction & Renovation 3,4,3,0,0,0,0,5,5,0,0,12,0,5,31,0,0,0,16,0,0,9,15
Aardug - RMO,Gold,"Netherlands , Enter , 7468 EJ",105,7,https://www.odoo.com/partners/aardug-rmo-3508827,v19:1; v18:3; v17:3,105.0,96.0,200,13,Wholesale / Retail 42 Manufacturing / Maintenance 20 IT / Communication / Marketing 16 Construction & Renovation 8 Science & Technology 4 Utilities / Energy / Water supply 3 Other Services 3 Agriculture 2 Health / Social Welfare / Pharmaceutical 2 Finance / Legal / Insurance 1,2,8,0,0,0,0,1,0,0,0,2,0,16,20,0,0,3,0,4,0,3,42
TeleNoc (هلكون لتقنية المعلومات),Gold,"Saudi Arabia , Riyadh | Jeddah | Khobar , 11565",104,7,https://www.odoo.com/partners/telenoc-هلكون-لتقنية-المعلومات-465426,v18:4; v17:3,104.0,88.0,600,27,Construction & Renovation 22 Wholesale / Retail 16 IT / Communication / Marketing 13 Transportation/Logistics 8 Manufacturing / Maintenance 8 Real Estate 7 Food / Hospitality / Tourism / Beverage 7 Government 6 Education 5 Finance / Legal / Insurance 3,0,22,0,0,5,0,3,7,6,0,0,0,13,8,0,0,0,7,0,8,0,16
Blueorange Group S.R.L.,Gold,"Argentina , Buenos Aires , San Martín , 1650",103,5,https://www.odoo.com/partners/blueorange-group-srl-1635129,v18:1; v17:4,103.0,100.0,700,31,Manufacturing / Maintenance 25 Wholesale / Retail 20 IT / Communication / Marketing 9 Health / Social Welfare / Pharmaceutical 5 Other Services 5 Construction & Renovation 5 Science & Technology 3 Agriculture 2 Food / Hospitality / Tourism / Beverage 2 Government 1,2,5,0,0,0,0,0,2,1,0,5,0,9,25,0,0,5,0,3,0,0,20
Grow IT,Gold,"Dominican Republic , Santo Domingo , /",103,6,https://www.odoo.com/partners/grow-it-1236042,v17:6,103.0,94.0,100,17,Manufacturing / Maintenance 16 IT / Communication / Marketing 9 Wholesale / Retail 4 Science & Technology 4 Other Services 3 Food / Hospitality / Tourism / Beverage 3 Utilities / Energy / Water supply 2 Health / Social Welfare / Pharmaceutical 1 Construction & Renovation 1 Transportation/Logistics 1,0,1,0,0,0,0,0,3,0,0,1,0,9,16,0,0,3,0,4,1,2,4
Smart Information Technologies Ltd,Gold,"United Kingdom , London , Camden , NW1 9PF",103,31,https://www.odoo.com/partners/smart-information-technologies-ltd-442178,v19:9; v18:12; v17:10,103.0,87.0,200,26,Manufacturing / Maintenance 31 Wholesale / Retail 23 Other Services 12 IT / Communication / Marketing 8 Food / Hospitality / Tourism / Beverage 5 Health / Social Welfare / Pharmaceutical 5 Science & Technology 3 Entertainment / Media 3 Mining & Quarrying 2 Utilities / Energy / Water supply 2,0,0,0,0,0,3,0,5,0,0,5,0,8,31,2,0,12,0,3,0,2,23
Oodu Implementers Private Limited,Gold,"India , Maharashtra , Mumbai , 400063",102,11,https://www.odoo.com/partners/oodu-implementers-private-limited-2199251,v18:7; v17:4,102.0,85.0,300,25,Manufacturing / Maintenance 59 Other Services 14 Wholesale / Retail 13 Health / Social Welfare / Pharmaceutical 3 Food / Hospitality / Tourism / Beverage 3 IT / Communication / Marketing 3 Government 2 Education 1 Finance / Legal / Insurance 1 Construction & Renovation 1,0,1,0,0,1,0,1,3,2,0,3,0,3,59,0,0,14,0,0,0,0,13
PCI Consulting and Solutions,Gold,"Indonesia , Jawa Tengah , Semarang , 50231",102,8,https://www.odoo.com/partners/pci-consulting-and-solutions-21988673,v19:1; v18:3; v17:4,102.0,89.0,200,33,Wholesale / Retail 28 Manufacturing / Maintenance 24 Food / Hospitality / Tourism / Beverage 12 Construction & Renovation 7 IT / Communication / Marketing 6 Utilities / Energy / Water supply 5 Transportation/Logistics 4 Other Services 4 Finance / Legal / Insurance 3 Science & Technology 2,0,7,0,0,0,0,3,12,0,0,0,0,6,24,0,0,4,0,2,4,5,28
Sinergi Data Totalindo,Gold,"Indonesia , Jakarta , Jakarta Selatan , 12430",102,5,https://www.odoo.com/partners/sinergi-data-totalindo-888726,v18:1; v17:4,102.0,94.0,300,20,Wholesale / Retail 34 Manufacturing / Maintenance 23 Utilities / Energy / Water supply 14 Transportation/Logistics 10 Health / Social Welfare / Pharmaceutical 9 IT / Communication / Marketing 7 Food / Hospitality / Tourism / Beverage 5 Government 4 Other Services 4 Construction & Renovation 3,0,3,0,0,0,0,0,5,4,0,9,0,7,23,0,0,4,0,0,10,14,34
Arkana Indonesia,Gold,"Indonesia , Jakarta , Jakarta Selatan , 12550",101,7,https://www.odoo.com/partners/arkana-indonesia-21049967,v19:1; v18:2; v17:4,101.0,89.0,4500,68,Wholesale / Retail 32 Manufacturing / Maintenance 14 Health / Social Welfare / Pharmaceutical 9 Food / Hospitality / Tourism / Beverage 8 IT / Communication / Marketing 8 Utilities / Energy / Water supply 6 Construction & Renovation 5 Other Services 4 Agriculture 3 Education 3,3,5,0,0,3,0,0,8,0,0,9,0,8,14,0,0,4,0,0,0,6,32
EJAF Technology,Gold,"Iraq , Baghdad , Baghdad , 10011",101,6,https://www.odoo.com/partners/ejaf-technology-1549920,v19:2; v18:2; v17:2,101.0,96.0,600,28,Wholesale / Retail 33 Manufacturing / Maintenance 15 IT / Communication / Marketing 12 Construction & Renovation 11 Other Services 7 Government 3 Utilities / Energy / Water supply 3 Finance / Legal / Insurance 2 Health / Social Welfare / Pharmaceutical 2 Households 2,0,11,0,0,0,0,2,0,3,0,2,2,12,15,0,0,7,0,0,0,3,33
360 ERP,Gold,"Netherlands , 's-Hertogenbosch , 5223 AL",100,7,https://www.odoo.com/partners/360-erp-5224211,v18:4; v17:3,100.0,100.0,300,25,Wholesale / Retail 61 Manufacturing / Maintenance 20 Other Services 9 IT / Communication / Marketing 3 Food / Hospitality / Tourism / Beverage 3 Science & Technology 2 Transportation/Logistics 1 Health / Social Welfare / Pharmaceutical 1 NGO 1 Construction & Renovation 1,0,1,0,0,0,0,0,3,0,0,1,0,3,20,0,1,9,0,2,1,0,61
Datenpol gmbh,Gold,"Austria , Linz , 4020",100,10,https://www.odoo.com/partners/datenpol-gmbh-13257,v19:2; v18:5; v17:3,100.0,94.0,300,20,IT / Communication / Marketing 20 Manufacturing / Maintenance 17 Other Services 11 Wholesale / Retail 11 Utilities / Energy / Water supply 8 Science & Technology 8 Food / Hospitality / Tourism / Beverage 5 Construction & Renovation 5 Health / Social Welfare / Pharmaceutical 4 Finance / Legal / Insurance 3,0,5,0,0,0,0,3,5,0,0,4,0,20,17,0,0,11,0,8,0,8,11
Al Jawad Software House,Gold,"United Arab Emirates , Dubai , Dubai , 0000",99,7,https://www.odoo.com/partners/al-jawad-software-house-4598740,v19:1; v18:1; v17:5,99.0,97.0,200,19,Wholesale / Retail 50 Manufacturing / Maintenance 11 IT / Communication / Marketing 8 Other Services 5 Real Estate 5 Transportation/Logistics 4 Government 3 Education 3 Health / Social Welfare / Pharmaceutical 3 Food / Hospitality / Tourism / Beverage 2,0,0,0,0,3,0,0,2,3,0,3,0,8,11,0,0,5,5,0,4,0,50
Squareflow S.A.,Gold,"Belgium , Wavre , 1300",98,11,https://www.odoo.com/partners/squareflow-sa-4296072,v18:9; v17:2,98.0,100.0,400,16,Wholesale / Retail 25 IT / Communication / Marketing 17 Utilities / Energy / Water supply 17 Manufacturing / Maintenance 15 Construction & Renovation 8 Other Services 6 Transportation/Logistics 4 Health / Social Welfare / Pharmaceutical 3 Food / Hospitality / Tourism / Beverage 2 Finance / Legal / Insurance 1,0,8,0,0,0,0,1,2,0,0,3,0,17,15,0,0,6,0,0,4,17,25
Alitec Pte Ltd,Gold,"Singapore , Singapore , 576151",97,5,https://www.odoo.com/partners/alitec-pte-ltd-850463,v18:2; v17:3,97.0,94.0,200,16,Wholesale / Retail 29 Manufacturing / Maintenance 19 Food / Hospitality / Tourism / Beverage 11 Other Services 5 Health / Social Welfare / Pharmaceutical 5 Construction & Renovation 4 IT / Communication / Marketing 4 Finance / Legal / Insurance 3 NGO 2 Education 2,0,4,0,0,2,0,3,11,0,0,5,0,4,19,0,2,5,0,0,0,0,29
IT SYS Corporation,Gold,"Egypt , Giza , 6th of October Cairo , 11111",97,7,https://www.odoo.com/partners/it-sys-corporation-167908,v18:2; v17:5,97.0,87.0,300,32,Manufacturing / Maintenance 25 Wholesale / Retail 18 Food / Hospitality / Tourism / Beverage 10 IT / Communication / Marketing 8 Real Estate 7 Construction & Renovation 6 Finance / Legal / Insurance 6 Health / Social Welfare / Pharmaceutical 5 Utilities / Energy / Water supply 4 Agriculture 3,3,6,0,0,0,0,6,10,0,0,5,0,8,25,0,0,0,7,0,0,4,18
Niboo SRL,Gold,"Belgium , Auderghem , 1160",97,7,https://www.odoo.com/partners/niboo-srl-332882,v18:5; v17:2,97.0,92.0,2000,29,Wholesale / Retail 19 Construction & Renovation 12 IT / Communication / Marketing 11 Food / Hospitality / Tourism / Beverage 9 Manufacturing / Maintenance 8 Other Services 8 HR / Administrative / Consulting 7 Government 4 Finance / Legal / Insurance 4 NGO 4,0,12,0,0,0,0,4,9,4,7,0,0,11,8,0,4,8,0,0,0,0,19
Sudokeys,Gold,"France , Montauban , 82000",97,5,https://www.odoo.com/partners/sudokeys-3934501,v18:2; v17:3,97.0,92.0,200,22,Wholesale / Retail 19 Other Services 15 IT / Communication / Marketing 9 Health / Social Welfare / Pharmaceutical 5 Manufacturing / Maintenance 5 Utilities / Energy / Water supply 4 Construction & Renovation 4 Food / Hospitality / Tourism / Beverage 3 Science & Technology 3 Real Estate 3,0,4,0,0,0,0,0,3,0,0,5,0,9,5,0,0,15,3,3,0,4,19
dear digital,Gold,"Belgium , Vosselaar , 2350",96,10,https://www.odoo.com/partners/dear-digital-25750815,v19:1; v18:4; v17:5,96.0,92.0,300,12,Wholesale / Retail 37 IT / Communication / Marketing 16 Manufacturing / Maintenance 10 Utilities / Energy / Water supply 10 Transportation/Logistics 7 Food / Hospitality / Tourism / Beverage 4 Construction & Renovation 4 HR / Administrative / Consulting 3 Science & Technology 2 Entertainment / Media 2,0,4,0,0,0,2,0,4,0,3,0,0,16,10,0,0,0,0,2,7,10,37
ArkeUp eDoo,Gold,"France , Paris , 75008",95,9,https://www.odoo.com/partners/arkeup-edoo-780745,v19:1; v18:3; v17:5,95.0,96.0,500,25,Wholesale / Retail 24 Other Services 12 Manufacturing / Maintenance 10 Food / Hospitality / Tourism / Beverage 9 IT / Communication / Marketing 9 Science & Technology 7 Utilities / Energy / Water supply 4 Health / Social Welfare / Pharmaceutical 4 Government 3 Transportation/Logistics 2,0,0,0,0,0,0,0,9,3,0,4,0,9,10,0,0,12,0,7,2,4,24
3MIT,Gold,"Venezuela , Caracas , 1071",94,3,https://www.odoo.com/partners/3mit-2898423,v18:1; v17:2,94.0,87.0,600,32,Wholesale / Retail 28 Other Services 12 IT / Communication / Marketing 11 Manufacturing / Maintenance 7 Health / Social Welfare / Pharmaceutical 6 Food / Hospitality / Tourism / Beverage 6 Finance / Legal / Insurance 6 Transportation/Logistics 4 Science & Technology 2 Agriculture 1,1,0,0,0,0,0,6,6,0,0,6,0,11,7,0,0,12,0,2,4,0,28
TechUltra Solutions Pvt. Ltd.,Gold,"India , Gujarat , Ahmedabad , 380015",94,9,https://www.odoo.com/partners/techultra-solutions-pvt-ltd-3953642,v19:3; v18:4; v17:2,94.0,86.0,1000,26,Manufacturing / Maintenance 29 Wholesale / Retail 22 Other Services 11 Utilities / Energy / Water supply 5 Finance / Legal / Insurance 4 IT / Communication / Marketing 4 Science & Technology 3 Food / Hospitality / Tourism / Beverage 3 Entertainment / Media 2 Mining & Quarrying 2,0,0,0,0,0,2,4,3,0,0,0,0,4,29,2,0,11,0,3,0,5,22
Octupus Technologies SL,Gold,"Spain , Madrid , Pinto (Madrid) , 28320",92,6,https://www.odoo.com/partners/octupus-technologies-sl-3917484,v19:2; v18:3; v17:1,92.0,94.0,100,9,Wholesale / Retail 57 Manufacturing / Maintenance 9 Construction & Renovation 5 IT / Communication / Marketing 5 Other Services 4 Health / Social Welfare / Pharmaceutical 3 Transportation/Logistics 3 Food / Hospitality / Tourism / Beverage 3 Education 2 Utilities / Energy / Water supply 2,0,5,0,0,2,0,0,3,0,0,3,0,5,9,0,0,4,0,0,3,2,57
A1 Consulting JSC.,Gold,"Vietnam , Hà Nội , 100000",91,7,https://www.odoo.com/partners/a1-consulting-jsc-3785380,v19:1; v18:3; v17:3,91.0,88.0,300,34,Manufacturing / Maintenance 17 Wholesale / Retail 14 Health / Social Welfare / Pharmaceutical 5 Education 5 Other Services 5 IT / Communication / Marketing 4 Food / Hospitality / Tourism / Beverage 4 Transportation/Logistics 2 Construction & Renovation 1 HR / Administrative / Consulting 1,0,1,0,0,5,0,0,4,0,1,5,0,4,17,0,0,5,0,0,2,0,14
CORPOEUREKA - EUREKA SERVICES,Gold,"Venezuela , Portuguesa , Araure , 3303",91,3,https://www.odoo.com/partners/corpoeureka-eureka-services-5189050,v18:1; v17:2,91.0,95.0,300,25,Agriculture 24 Manufacturing / Maintenance 17 Construction & Renovation 9 Wholesale / Retail 9 Transportation/Logistics 7 Other Services 5 Food / Hospitality / Tourism / Beverage 5 Health / Social Welfare / Pharmaceutical 5 IT / Communication / Marketing 3 Entertainment / Media 1,24,9,0,0,0,1,0,5,0,0,5,0,3,17,0,0,5,0,0,7,0,9
Walnut Software Solutions,Gold,"Kuwait , Kuwait City, Qibla , 00965",90,7,https://www.odoo.com/partners/walnut-software-solutions-5787955,v18:3; v17:4,90.0,100.0,100,15,Wholesale / Retail 36 Manufacturing / Maintenance 14 Food / Hospitality / Tourism / Beverage 12 Construction & Renovation 5 Health / Social Welfare / Pharmaceutical 4 Education 3 Real Estate 3 Finance / Legal / Insurance 3 Other Services 2 Transportation/Logistics 1,0,5,0,0,3,0,3,12,0,0,4,0,0,14,0,0,2,3,0,1,0,36
manaTec GmbH,Gold,"Germany , Dresden , 01099",90,7,https://www.odoo.com/partners/manatec-gmbh-1023999,v18:4; v17:3,90.0,96.0,200,22,Manufacturing / Maintenance 21 IT / Communication / Marketing 17 Food / Hospitality / Tourism / Beverage 12 Wholesale / Retail 11 Other Services 9 Utilities / Energy / Water supply 6 HR / Administrative / Consulting 5 Health / Social Welfare / Pharmaceutical 4 Construction & Renovation 2 Science & Technology 1,0,2,0,0,0,0,0,12,0,5,4,0,17,21,0,0,9,0,1,0,6,11
Azkatech,Gold,"Lebanon , Beirut , 1008",87,2,https://www.odoo.com/partners/azkatech-1740990,v18:1; v17:1,87.0,95.0,200,20,Wholesale / Retail 21 IT / Communication / Marketing 11 Health / Social Welfare / Pharmaceutical 9 Food / Hospitality / Tourism / Beverage 8 Other Services 8 Construction & Renovation 7 Entertainment / Media 6 Science & Technology 3 NGO 3 Finance / Legal / Insurance 3,0,7,0,0,0,6,3,8,0,0,9,0,11,0,0,3,8,0,3,0,0,21
